variant,problem,n_obj,obj_group,algorithm,engine,n_evals,seed,runtime_seconds,n_solutions,hypervolume,aos_active,algorithm_config
baseline,cec2009_uf1,2,UF,NSGA-II,numba,100000,0,6.970361700019566,100,0.8206257427940066,0,"{""adaptive_operator_selection"": null, ""archive"": null, ""archive_type"": null, ""constraint_mode"": ""feasibility"", ""crossover"": [""sbx"", {""eta"": 20.0, ""prob"": 1.0}], ""generation_callback"": null, ""generation_callback_copy"": true, ""immigration"": null, ""initializer"": null, ""live_callback_mode"": ""nd_only"", ""mutation"": [""pm"", {""eta"": 20.0, ""prob"": 0.03333333333333333}], ""mutation_prob_factor"": null, ""offspring_size"": null, ""parent_selection_filter"": null, ""pop_size"": 100, ""repair"": null, ""replacement_size"": null, ""result_mode"": ""non_dominated"", ""selection"": [""tournament"", {}], ""steady_state"": false, ""track_genealogy"": false}"
baseline,cec2009_uf1,2,UF,NSGA-II,numba,100000,1,7.517161900002975,100,0.8476725062203939,0,"{""adaptive_operator_selection"": null, ""archive"": null, ""archive_type"": null, ""constraint_mode"": ""feasibility"", ""crossover"": [""sbx"", {""eta"": 20.0, ""prob"": 1.0}], ""generation_callback"": null, ""generation_callback_copy"": true, ""immigration"": null, ""initializer"": null, ""live_callback_mode"": ""nd_only"", ""mutation"": [""pm"", {""eta"": 20.0, ""prob"": 0.03333333333333333}], ""mutation_prob_factor"": null, ""offspring_size"": null, ""parent_selection_filter"": null, ""pop_size"": 100, ""repair"": null, ""replacement_size"": null, ""result_mode"": ""non_dominated"", ""selection"": [""tournament"", {}], ""steady_state"": false, ""track_genealogy"": false}"
baseline,cec2009_uf1,2,UF,NSGA-II,numba,100000,2,5.6288559999957215,100,0.830716682354547,0,"{""adaptive_operator_selection"": null, ""archive"": null, ""archive_type"": null, ""constraint_mode"": ""feasibility"", ""crossover"": [""sbx"", {""eta"": 20.0, ""prob"": 1.0}], ""generation_callback"": null, ""generation_callback_copy"": true, ""immigration"": null, ""initializer"": null, ""live_callback_mode"": ""nd_only"", ""mutation"": [""pm"", {""eta"": 20.0, ""prob"": 0.03333333333333333}], ""mutation_prob_factor"": null, ""offspring_size"": null, ""parent_selection_filter"": null, ""pop_size"": 100, ""repair"": null, ""replacement_size"": null, ""result_mode"": ""non_dominated"", ""selection"": [""tournament"", {}], ""steady_state"": false, ""track_genealogy"": false}"
baseline,cec2009_uf1,2,UF,NSGA-II,numba,100000,3,8.210460599977523,100,0.7852743610244256,0,"{""adaptive_operator_selection"": null, ""archive"": null, ""archive_type"": null, ""constraint_mode"": ""feasibility"", ""crossover"": [""sbx"", {""eta"": 20.0, ""prob"": 1.0}], ""generation_callback"": null, ""generation_callback_copy"": true, ""immigration"": null, ""initializer"": null, ""live_callback_mode"": ""nd_only"", ""mutation"": [""pm"", {""eta"": 20.0, ""prob"": 0.03333333333333333}], ""mutation_prob_factor"": null, ""offspring_size"": null, ""parent_selection_filter"": null, ""pop_size"": 100, ""repair"": null, ""replacement_size"": null, ""result_mode"": ""non_dominated"", ""selection"": [""tournament"", {}], ""steady_state"": false, ""track_genealogy"": false}"
baseline,cec2009_uf1,2,UF,NSGA-II,numba,100000,4,5.596331400010968,100,0.8098741442408907,0,"{""adaptive_operator_selection"": null, ""archive"": null, ""archive_type"": null, ""constraint_mode"": ""feasibility"", ""crossover"": [""sbx"", {""eta"": 20.0, ""prob"": 1.0}], ""generation_callback"": null, ""generation_callback_copy"": true, ""immigration"": null, ""initializer"": null, ""live_callback_mode"": ""nd_only"", ""mutation"": [""pm"", {""eta"": 20.0, ""prob"": 0.03333333333333333}], ""mutation_prob_factor"": null, ""offspring_size"": null, ""parent_selection_filter"": null, ""pop_size"": 100, ""repair"": null, ""replacement_size"": null, ""result_mode"": ""non_dominated"", ""selection"": [""tournament"", {}], ""steady_state"": false, ""track_genealogy"": false}"
baseline,cec2009_uf1,2,UF,NSGA-II,numba,100000,5,7.5022940000053495,100,0.842452276844967,0,"{""adaptive_operator_selection"": null, ""archive"": null, ""archive_type"": null, ""constraint_mode"": ""feasibility"", ""crossover"": [""sbx"", {""eta"": 20.0, ""prob"": 1.0}], ""generation_callback"": null, ""generation_callback_copy"": true, ""immigration"": null, ""initializer"": null, ""live_callback_mode"": ""nd_only"", ""mutation"": [""pm"", {""eta"": 20.0, ""prob"": 0.03333333333333333}], ""mutation_prob_factor"": null, ""offspring_size"": null, ""parent_selection_filter"": null, ""pop_size"": 100, ""repair"": null, ""replacement_size"": null, ""result_mode"": ""non_dominated"", ""selection"": [""tournament"", {}], ""steady_state"": false, ""track_genealogy"": false}"
baseline,cec2009_uf1,2,UF,NSGA-II,numba,100000,6,7.1173356999934185,100,0.8115637800651191,0,"{""adaptive_operator_selection"": null, ""archive"": null, ""archive_type"": null, ""constraint_mode"": ""feasibility"", ""crossover"": [""sbx"", {""eta"": 20.0, ""prob"": 1.0}], ""generation_callback"": null, ""generation_callback_copy"": true, ""immigration"": null, ""initializer"": null, ""live_callback_mode"": ""nd_only"", ""mutation"": [""pm"", {""eta"": 20.0, ""prob"": 0.03333333333333333}], ""mutation_prob_factor"": null, ""offspring_size"": null, ""parent_selection_filter"": null, ""pop_size"": 100, ""repair"": null, ""replacement_size"": null, ""result_mode"": ""non_dominated"", ""selection"": [""tournament"", {}], ""steady_state"": false, ""track_genealogy"": false}"
baseline,cec2009_uf1,2,UF,NSGA-II,numba,100000,7,7.345827300014207,100,0.7589979356356572,0,"{""adaptive_operator_selection"": null, ""archive"": null, ""archive_type"": null, ""constraint_mode"": ""feasibility"", ""crossover"": [""sbx"", {""eta"": 20.0, ""prob"": 1.0}], ""generation_callback"": null, ""generation_callback_copy"": true, ""immigration"": null, ""initializer"": null, ""live_callback_mode"": ""nd_only"", ""mutation"": [""pm"", {""eta"": 20.0, ""prob"": 0.03333333333333333}], ""mutation_prob_factor"": null, ""offspring_size"": null, ""parent_selection_filter"": null, ""pop_size"": 100, ""repair"": null, ""replacement_size"": null, ""result_mode"": ""non_dominated"", ""selection"": [""tournament"", {}], ""steady_state"": false, ""track_genealogy"": false}"
baseline,cec2009_uf1,2,UF,NSGA-II,numba,100000,8,5.59317840001313,100,0.7272234318086759,0,"{""adaptive_operator_selection"": null, ""archive"": null, ""archive_type"": null, ""constraint_mode"": ""feasibility"", ""crossover"": [""sbx"", {""eta"": 20.0, ""prob"": 1.0}], ""generation_callback"": null, ""generation_callback_copy"": true, ""immigration"": null, ""initializer"": null, ""live_callback_mode"": ""nd_only"", ""mutation"": [""pm"", {""eta"": 20.0, ""prob"": 0.03333333333333333}], ""mutation_prob_factor"": null, ""offspring_size"": null, ""parent_selection_filter"": null, ""pop_size"": 100, ""repair"": null, ""replacement_size"": null, ""result_mode"": ""non_dominated"", ""selection"": [""tournament"", {}], ""steady_state"": false, ""track_genealogy"": false}"
baseline,cec2009_uf1,2,UF,NSGA-II,numba,100000,9,7.252147999999579,100,0.8077022786964458,0,"{""adaptive_operator_selection"": null, ""archive"": null, ""archive_type"": null, ""constraint_mode"": ""feasibility"", ""crossover"": [""sbx"", {""eta"": 20.0, ""prob"": 1.0}], ""generation_callback"": null, ""generation_callback_copy"": true, ""immigration"": null, ""initializer"": null, ""live_callback_mode"": ""nd_only"", ""mutation"": [""pm"", {""eta"": 20.0, ""prob"": 0.03333333333333333}], ""mutation_prob_factor"": null, ""offspring_size"": null, ""parent_selection_filter"": null, ""pop_size"": 100, ""repair"": null, ""replacement_size"": null, ""result_mode"": ""non_dominated"", ""selection"": [""tournament"", {}], ""steady_state"": false, ""track_genealogy"": false}"
